2024-04-01T12:51:34.486+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : Starting SeprIndividualAssignmentApplication using Java 21 with PID 42791 (/Users/deluxe/uni/ss2024/sepr/projekt/backend/target/classes started by deluxe in /Users/deluxe/uni/ss2024/sepr/projekt/backend)
2024-04-01T12:51:34.501+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : No active profile set, falling back to 1 default profile: "default"
2024-04-01T12:51:35.888+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2024-04-01T12:51:35.903+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-04-01T12:51:35.903+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-01T12:51:35.938+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-04-01T12:51:35.939+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1383 ms
2024-04-01T12:51:35.989+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-04-01T12:51:36.213+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection conn1: url=jdbc:h2:./wendydb user=SA
2024-04-01T12:51:36.215+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-04-01T12:51:36.228+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:./wendydb'
2024-04-01T12:51:37.034+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path ''
